"PRODUCTOS","ene-24","feb-24","mar-24","abr-24","may-24","jun-24","jul-24","ago-24","sept-24","oct-24","nov-24","dic-24","ene-25","feb-25","mar-25","abr-25","may-25","oct-25","Tipo de dieta"
"HORTALIZAS EN CONSERVA","1036.5","1024.3","970.0","1154.5","1145.7","1336.1","1271.8","1316.7","1284.6","1344.7","1186.4","1185.4","1278.7","1283.8","1317.9","1318.9","1154.1","1154.1","Vegano"
"JUGOS EN POLVO","209.9","212.6","211.5","226.2","222.7","213.9","202.9","197.2","198.1","218.9","185.5","179.0","211.4","202.3","226.1","236.8","186.7","186.7","Vegano"
"JUGOS LÍQUIDOS","1401.1","1410.2","1523.3","1570.2","1478.6","1580.6","1603.4","1553.7","1443.6","1568.6","1436.6","1451.0","1640.8","1623.1","1626.0","1681.8","1520.7","1520.7","Vegano"
"LECHUGAS","853.2","854.0","858.3","942.7","971.1","1006.3","1135.1","1182.5","1165.5","967.6","820.2","808.9","895.8","953.6","981.4","944.5","845.8","845.8","Vegano"
"LIMONES","1565.4","1648.1","1938.5","1876.3","1660.1","1362.2","1174.8","1103.0","1130.7","1154.3","1088.2","1157.4","1418.4","1438.7","1648.1","1641.1","1427.8","1427.8","Vegano"
"MANZANAS","1839.5","1792.5","1798.7","1741.0","1690.9","1652.0","1601.8","1658.7","1723.7","1767.9","1579.3","1772.5","1835.9","1722.2","1778.6","1609.4","1564.4","1564.4","Vegano"
"MARGARINA","1079.2","1053.0","1080.7","1320.1","2022.6","1971.7","1984.2","1910.7","1939.8","1925.6","1796.6","1842.3","1958.0","1921.8","1958.4","2126.8","1685.2","1685.2","Vegano"
"MERMELADAS","1041.4","961.0","1026.4","1045.8","1070.8","1038.7","1004.1","1060.0","1018.8","1005.4","850.9","927.0","1031.0","1027.7","1017.9","1052.3","934.3","934.3","Vegano"
"NARANJAS","1580.5","1270.3","1261.0","1509.8","1828.9","1625.2","1565.9","1561.6","1619.9","1636.3","1534.2","1407.2","1309.1","1353.1","1449.7","1761.3","1721.2","1721.2","Vegano"
"OTRAS BEBIDAS NO ALCOHÓLICAS","1324.6","1326.8","1317.3","1359.4","1394.1","1392.1","1402.1","1405.0","1364.5","1417.8","1302.9","1269.9","1396.8","1388.1","1382.6","1389.3","1314.1","1314.1","Vegano"
"PALTAS","3506.1","3762.1","3953.4","4180.0","4267.7","4210.8","4143.1","4020.5","4128.3","4064.4","3247.8","3326.8","3275.9","3196.1","3313.2","3346.6","3241.7","3241.7","Vegano"
"PAPAS","1942.6","1643.5","1517.3","1482.0","1393.0","1441.2","1518.0","1507.7","1481.9","1780.3","1682.4","1551.0","1480.1","1347.2","1335.7","1217.2","1117.1","1117.1","Vegano"
"PAPAS CONGELADAS Y DESHIDRATADAS","2992.8","3054.2","3193.1","3136.3","3261.5","3236.8","3046.7","2979.8","2837.9","3027.4","3021.5","2369.9","3136.8","3108.0","3098.3","3101.0","3137.2","3137.2","Vegano"
"PAPAS FRITAS","1580.0","1270.6","1364.3","1445.4","1479.0","1647.9","1599.0","1617.0","1416.4","1448.2","1321.1","1407.1","1559.1","1507.3","1534.1","1614.0","1441.9","1441.9","Vegano"
"PERAS","1429.4","1479.4","1531.8","1511.2","1533.9","1457.4","1471.6","1484.1","1507.3","1572.3","1405.5","1447.7","1402.2","1443.9","1504.9","1487.1","1395.5","1395.5","Vegano"
"PIMIENTOS MORRONES","1206.7","1092.6","1038.0","1027.8","971.8","970.2","1043.3","1218.9","1271.0","1358.9","1045.3","968.9","1003.4","925.3","945.5","933.8","869.4","869.4","Vegano"
"PLÁTANOS","1389.7","1372.8","1343.1","1361.5","1304.7","1234.9","1236.1","1227.6","1228.6","1368.9","1194.2","1156.1","1273.1","1293.1","1336.7","1299.3","1183.0","1183.0","Vegano"
"SAL","423.9","422.5","419.4","444.7","444.2","413.7","424.0","420.2","416.5","430.6","334.2","365.0","421.3","410.4","426.9","451.4","360.3","360.3","Vegano"
"SALSAS DE TOMATE","825.9","847.8","833.6","877.4","859.0","856.1","828.7","819.3","822.8","818.2","734.9","730.3","818.6","800.2","774.0","777.0","669.3","669.3","Vegano"
"SOPAS ","608.1","545.2","582.8","556.1","588.1","549.8","477.7","535.3","565.8","569.2","507.0","541.6","571.6","556.2","559.6","566.0","511.8","511.8","Vegano"
"SUSTITUTOS VEGETALES DE CARNE","1171.4","1141.4","1160.7","1337.7","1327.9","1548.8","1582.0","1583.9","1572.4","1620.9","1420.3","1428.9","1565.9","1560.8","1557.7","1557.6","1500.0","1500.0","Vegano"
